year,month,avg_acousticness,avg_duration,avg_speechiness,avg_valence,avg_tempo
1980,1,0.43426417289156627,268339.9397590361,0.05929156626506024,0.5653346385542168,119.47609638554216
1980,2,0.20926071459459458,229122.98648648648,0.05223108108108108,0.648445945945946,128.68493243243242
1980,3,0.18687820759493673,243819.8987341772,0.05816708860759494,0.5132683544303798,127.4242658227848
1980,4,0.26999417297297296,236968.14864864864,0.06580270270270269,0.6096648648648649,122.25082432432433
1980,5,0.2867609782608696,258279.70652173914,0.04970652173913044,0.7149565217391304,125.67446739130435
1980,6,0.24773316666666667,239664.72727272726,0.06298636363636363,0.5876333333333333,118.0205
1980,7,0.18393497916666668,275837.8541666667,0.05975833333333334,0.6209791666666666,128.75570833333333
1980,8,0.2955457741935484,266341.0,0.05938709677419355,0.5379354838709677,126.96458064516129
1980,9,0.333910712,248746.024,0.06494159999999999,0.5820080000000001,117.114168
1980,10,0.21647928385093168,269484.9254658385,0.06326583850931677,0.6571869565217392,125.71005590062111
1980,11,0.22194902362204724,232230.3622047244,0.059633858267716534,0.504371653543307,120.72315748031497
1980,12,0.34451735263157895,261384.70175438595,0.06953859649122807,0.5720333333333333,121.04228070175438
1981,1,0.3546523733799534,259120.3682983683,0.06387412587412587,0.5829631701631701,121.21100932400932
1981,2,0.3401822,279877.775,0.0512475,0.46607750000000003,110.67204999999998
1981,3,0.4481189189189189,305574.54054054053,0.05842432432432432,0.6324189189189189,112.46243243243242
1981,4,0.3538138276315789,282460.7236842105,0.050410526315789475,0.5656434210526315,125.20739473684212
1981,5,0.20517980793650795,299181.44444444444,0.05819047619047619,0.5887698412698413,119.47893650793651
1981,6,0.07843448979591836,246844.5306122449,0.05446734693877551,0.6112183673469388,138.3072857142857
1981,7,0.1531651024691358,259387.03703703705,0.0618,0.5748333333333333,124.81406172839506
1981,8,0.2988637662337662,236592.23376623375,0.05475454545454545,0.6304155844155844,132.28975324675324
1981,9,0.22345310810810812,292542.2837837838,0.06361621621621621,0.525527027027027,125.01074324324324
1981,10,0.1369213590909091,254682.9,0.06013090909090909,0.5391272727272728,127.39720000000001
1981,11,0.1817683663934426,250613.131147541,0.060375409836065576,0.5948204918032787,127.90617213114754
1981,12,0.6483279999999999,331941.68,0.050884,0.568036,121.67324
1982,1,0.34495030584382874,258802.6498740554,0.06522846347607053,0.6109136020151134,117.80222670025188
